"Title","Href","Challenge","Solution","Outcome","Benefits","Institution"
"Minta Medical: Healthy outlook after MTC modifications","https://www.the-mtc.org/case-studies/minta-medical-healthy-outlook-after-mtc-modifications/","Following a growth in their business, minta medical were concerned the current manufacturing layout and location were constraining productivity. Minta medical were extending their factory and approached the mtc to investigate their full range of manufacturing processes using a standard operation approach. Following a growth in their business, minta medical were concerned the current manufacturing layout and location were constraining productivity. Minta medical were extending their factory and approached the mtc to investigate their full range of manufacturing processes using a standard operation approach. ","None","Workstations were re-designed and a layout created to optimise workflow in the factory extension. Low level technology fixtures and simple automation were designed and implemented for the time intensive manual processes. Accelerated training programmes were developed, so that new staff could achieve expected run rates. Workstations were re-designed and a layout created to optimise workflow in the factory extension. Low level technology fixtures and simple automation were designed and implemented for the time intensive manual processes. Accelerated training programmes were developed, so that new staff could achieve expected run rates. ","A productivity improvement of 25 per cent has resulted in a 60 per cent increase in output. Further improvement plans were put in place to achieve an additional 20% increase in output. Using the structured approach introduced by the mtc, the operations staff were able to continue identifying improvement opportunities. A productivity improvement of 25 per cent has resulted in a 60 per cent increase in output. Further improvement plans were put in place to achieve an additional 20% increase in output. Using the structured approach introduced by the mtc, the operations staff were able to continue identifying improvement opportunities. We maximised productivity whilst maintaining our product quality.  Our workforce also changed their way of thinking towards improvements.  We are now fully operational in our new facility, working in a more structured and efficient manner. Andy edwards, managing director, minta medical ltd.  . ","MTC"
"Vortex Exhaust Technology Ltd: 3D scanning technology increases performance","https://www.the-mtc.org/case-studies/vortex-exhaust-technology-ltd-3d-scanning-technology-increases-performance/","The mtc was approached by vortex exhaust technology ltd to investigate using 3d scanning systems on exhausts, to reverse engineer and produce cad models without excessive manual operations.  The challenge for the mtc was to investigate methods to reduce the quantity of jigs stored onsite and improve performance simulation. ","None","The mtc identified the most appropriate processing software and presented it to vortex for converting a point cloud into a cad model. Vortex are now able to optimise their module position and design along the length of the exhaust by importing their cad models into a simulation package. They can now also develop their cad technology further to reduce the amount of manual manufacturing. The mtc identified the most appropriate processing software and presented it to vortex for converting a point cloud into a cad model. Vortex are now able to optimise their module position and design along the length of the exhaust by importing their cad models into a simulation package. They can now also develop their cad technology further to reduce the amount of manual manufacturing. ","3d point cloud gathering technology enables vortex to scan an existing car exhaust and manufacture it to the correct size without a manual building process, reducing time and increasing efficiency. Through virtual modification of exhausts, vortex have reduced the time it takes to complete a unit and have upskilled their workforce.    . increase in performance of the exhausts, making them more competitive. 3d point cloud gathering technology enables vortex to scan an existing car exhaust and manufacture it to the correct size without a manual building process, reducing time and increasing efficiency. Through virtual modification of exhausts, vortex have reduced the time it takes to complete a unit and have upskilled their workforce.    Increase in performance of the exhausts, making them more competitive. We are very satisfied with the result and look forward to working with the mtc again in the future.  Mike campbell, r&d director, vortex exhaust technology ltd.  . ","MTC"
"The Regent Engineering Co. Ltd: Structural analysis improves performance and cuts costs","https://www.the-mtc.org/case-studies/the-regent-engineering-co-ltd-structural-analysis-improves-performance-and-cuts-costs/","Regent engaged the mtc to carry out a structural analysis of the baseplate products, to assess their performance and to decrease the manufacturing cost. ","None","Finite element analysis (fea) of all the baseplate variants was conducted in dassault simulia software.  Forces were applied that reproduced the extreme loading conditions upon the baseplates. Down-gauged models for several options, trialled under load conditions experienced in severe gale force winds, were within the yield strength of the material.  It was identified that a down-grade of sheet metal material or a reduction in the sheet gauge thickness could potentially be implemented to reduce manufacturing costs. The mtc and regent teams worked together, creating a future development plan to validate the analysis through a programme of mechanical testing. Finite element analysis (fea) of all the baseplate variants was conducted in dassault simulia software.  Forces were applied that reproduced the extreme loading conditions upon the baseplates. Down-gauged models for several options, trialled under load conditions experienced in severe gale force winds, were within the yield strength of the material.  It was identified that a down-grade of sheet metal material or a reduction in the sheet gauge thickness could potentially be implemented to reduce manufacturing costs. The mtc and regent teams worked together, creating a future development plan to validate the analysis through a programme of mechanical testing. ","Effective use of finite element analysis tools, supported by an experienced partner, removes the need for costly prototyping.  This saves design and production time and material, reducing costs. Fewer design iterations before concept validation means reduced time to market. Other benefits include; more innovative design solutions and reduced waste in materials, energy and time. Effective use of finite element analysis tools, supported by an experienced partner, removes the need for costly prototyping.  This saves design and production time and material, reducing costs. Fewer design iterations before concept validation means reduced time to market. Other benefits include; more innovative design solutions and reduced waste in materials, energy and time. Mtc’s reporting gets to the heart of the issues we need investigating.  We shall certainly continue to use their resources. Alan shaw, managing director, the regent engineering co.  Ltd.  . ","MTC"
"Revolutionising traditional metal spinning","https://www.the-mtc.org/case-studies/revolutionising-traditional-metal-spinning/","The purpose of this development programme was to upscale a laboratory concept for mandrel-free spinning, developed by the university of cambridge, into a customer-driven and commercially relevant flexible forming machine.  The main goals of this new spinning technology are:. Elimination of tooling costs. Rapid and low cost component prototyping. Advanced part geometry not currently accessible through conventional spinning. Elimination of tooling costsrapid and low cost component prototypingadvanced part geometry not currently accessible through conventional spinning","In partnership with primetals, the mtc developed an 11 axis machine capable of spinning blank sizes of up to 2. 5 metres. This machine is fully cnc operational.  Currently, standard spinning machines are more reliant on manual operations as fully cnc variants are not available. In partnership with primetals, the mtc developed an 11 axis machine capable of spinning blank sizes of up to 2. 5 metresthis machine is fully cnc operational.  Currently, standard spinning machines are more reliant on manual operations as fully cnc variants are not available","Innovative machine concept based on fundamental academic research. Fundamentals of toolpath design addressed through ongoing university support. Commercially relevant up-scaled machine built and installed at the mtc. Successful partnering could form the basis for a future innovative collaboration model. Innovative machine concept based on fundamental academic researchfundamentals of toolpath design addressed through ongoing university supportcommercially relevant up-scaled machine built and installed at the mtcsuccessful partnering could form the basis for a future innovative collaboration model. ","Integrated approach between primetals technologies, the university of cambridge and the mtc to revolutionise the traditional world of metal spinning. The foundation of a uk capability in the design, development and commercialisation of novel flexible forming machines. Integrated approach between primetals technologies, the university of cambridge and the mtc to revolutionise the traditional world of metal spinningthe foundation of a uk capability in the design, development and commercialisation of novel flexible forming machines. It was a fascinating project to work on due to the many aspects that had to be considered.  Given the collaborative nature of the project it was always a pleasure to work on, even when presented with tough challenges. Marie wells, advanced research engineer, mtc.  . ","MTC"
"New additive lattice design workflow","https://www.the-mtc.org/case-studies/new-additive-lattice-design-workflow/","Additive manufacturing (am) provides the ability to manufacture highly complex geometry.  However, the complexity of these geometries is limited by the current design and file processing workflow:. The typical am workflow requires the generation of a surface meshed geometry (usually . Stl) which limits the achievable geometric complexity. Highly complex and dense lattice structures are extremely time consuming to create and validate through conventional cad and finite element techniques. Build times increase substantially with geometrical complexity due to the increased contour scanning time. The typical am workflow requires the generation of a surface meshed geometry (usually . Stl) which limits the achievable geometric complexityhighly complex and dense lattice structures are extremely time consuming to create and validate through conventional cad and finite element techniquesbuild times increase substantially with geometrical complexity due to the increased contour scanning time","In partnership with betatype, the mtc developed a workflow that was based around betatype’s engine software, through creation of a highly complex lattice demonstrator component. The workflow incorporates lattice-based modelling and validation via finite element analysis, whilst avoiding the bottleneck of faceted data representation. In partnership with betatype, the mtc developed a workflow that was based around betatype’s engine software, through creation of a highly complex lattice demonstrator componentthe workflow incorporates lattice-based modelling and validation via finite element analysis, whilst avoiding the bottleneck of faceted data representation","A quantitative assessment of improvements for the current workflow. A demonstration of how processing a geometry of this complexity is challenging through current workflows. A method of validating highly complex lattice structures was demonstrated. Build speed improvements of up to 4x were demonstrated when using betatype’s generated build file, compared to the machine manufacturer’s build file. A quantitative assessment of improvements for the current workflowa demonstration of how processing a geometry of this complexity is challenging through current workflowsa method of validating highly complex lattice structures was demonstratedbuild speed improvements of up to 4x were demonstrated when using betatype’s generated build file, compared to the machine manufacturer’s build file","An am designer is now able to design and validate highly complex and efficient geometries which were previously not possible. File processing up to 8x faster. Build times for complex geometries up to 4x faster. Working with the mtc has given betatype exposure to a number of industrial companies who would be interested in this new capability. An am designer is now able to design and validate highly complex and efficient geometries which were previously not possiblefile processing up to 8x fasterbuild times for complex geometries up to 4x fasterworking with the mtc has given betatype exposure to a number of industrial companies who would be interested in this new capability. It was rewarding to work with such a forward-thinking company as betatype, and make use of their engine software to demonstrate a new workflow for complex am designs. Andrew triantaphyllou, principal engineer, mtc.  . ","MTC"
"Harris RCS: Reducing waste and costs","https://www.the-mtc.org/case-studies/harris-rcs-reducing-waste-and-costs/","A move to specialise in aerospace engineering brought with it a number of challenges. To reduce waste. To cut costs. Improve workflow set-up. To reduce wasteto cut costsimprove workflow set-up","None","Alternative solution found to the bottleneck without need to purchase new equipment. Final inspection removed and done in the production process. Alternative solution found to the bottleneck without need to purchase new equipmentfinal inspection removed and done in the production process","None","MTC"
"Delf: Reaping the benefits from MTC Operational Efficiency","https://www.the-mtc.org/case-studies/delf-reaping-the-benefits-from-mtc-operational-efficiency/","None","Developed a programme of change to deliver the productivity and quality improvements needed. Created organisational control to exploit technology to its full potential. Developed a programme of change to deliver the productivity and quality improvements neededcreated organisational control to exploit technology to its full potential","None","Improved organisation. Implementation has enabled company to deal with increased sales. Improved organisationimplementation has enabled company to deal with increased sales.  . ","MTC"
"The next generation of food machinery","https://www.the-mtc.org/case-studies/the-next-generation-of-food-machinery/","The difficulty in depositing many food products lies in their complex structures, which change during production.  Indeed, the depositing process is crucial in the final stage of formulation and therefore optimisation of this process requires a holistic approach, which considers the complex interaction between the formulation and the deposition. The goal was the improvement of a well established, ‘pressurised’ continuous depositing system, leading to faster operational speeds, increased levels of accuracy and greater economic manufacturing techniques. ","With support from innovate uk’s formulated products collaborative r&d funding stream, and some challenging targets from end users, mtc engineers used new ways to model the flow of product through the depositing system, enabling improvements to established designs to be trialled on a computer, before committing to a physical prototype. The mtc’s expertise in computer modelling and design for manufacturing, led to an improvement in the flow of the product and the enhancement of the overall system speed.  These were verified by on-site trials, both at wymbs and with an end user. ","The re-designed depositing system has exceeded expectations and is now in long term trials at an end user’s pilot plant, working with real product.  The pilot plant is already showing significant gains in productivity and output, whilst the new design enables wymbs to offer new features to the market place. A key step change for wymbs is the degree of modularity of the new depositor, reducing the need for bespoke designs and enabling manufacturing and cost efficiencies. ","Significantly increased performance over the existing depositor designs, allowing end users to produce more in a smaller footprint with lower operating costs. Wymbs has improved its reputation with its customers as a competitive and innovative supplier. Wymbs’ workforce now have a better understanding of the process through the use of advanced computer simulations. Wymbs is better placed to win new work as a technology leader in its sector, through standardised yet innovative projects.  . significantly increased performance over the existing depositor designs, allowing end users to produce more in a smaller footprint with lower operating costswymbs has improved its reputation with its customers as a competitive and innovative supplierwymbs’ workforce now have a better understanding of the process through the use of advanced computer simulationswymbs is better placed to win new work as a technology leader in its sector, through standardised yet innovative projects.  . we found working with the manufacturing technology centre inspirational.  They were extremely diligent in their approach to a process which wymbs has been developing for thirty years. Barry sharples, commercial director, wymbs engineering limited.  . ","MTC"
"Additive Manufacturing of Structures for the Mars Mission","https://www.the-mtc.org/case-studies/additive-manufacturing-of-structures-for-the-mars-mission/","Magna parva approached the mtc for advice and guidance on manufacturing an energy-absorbing structure for the mars sample return mission using an electron beam melting (ebm) additive manufacturing process. The structure needed to be strong enough to withstand freefall impact on re-entry, crushable enough to reduce impact shock for its contents, and heat proof to keep the sample below a specified temperature. ","Working in conjunction with magna parva, the mtc’s additive manufacturing team was able to manufacture lattice structures using ebm, taking into consideration the effects of build orientation.  Inspection of the structures was conducted using non-destructive x-ray ct scanning to assess the quality. The mtc team also provided magna parva with the parent properties of titanium alloy ti6ai4v, which the team used to assess demonstrators against, to see if the material could withstand the stresses of re-entry. ","The additive manufactured crushable structure enabled magna parva to assemble and mechanically test the structure for the european space agency’s thermal protection system project. The innovative technology, manufacturing process steps and mechanical test results have been captured and validated by theoretical analysis and fea, allowing magna parva to further optimise the structure design while considering manufacturing post-processing techniques to improve accuracy and quality of the parts. ","Access to expertise on additive manufacturing processes. The mtc took on the risk of identifying the right process for the job, which reduced the risk for the client. Increased knowledge and understanding of additive manufacturing constraints and capabilities. Fast turnaround of design-make iterations (all done in-house at the mtc). Knowledge of additive manufacturing processes which can be used while comparing manufacturing methods in future projects. Access to expertise on additive manufacturing processesthe mtc took on the risk of identifying the right process for the job, which reduced the risk for the clientincreased knowledge and understanding of additive manufacturing constraints and capabilitiesfast turnaround of design-make iterations (all done in-house at the mtc)knowledge of additive manufacturing processes which can be used while comparing manufacturing methods in future projects. The mtc was able to provide knowledge of the additive manufacturing tooling capabilities and detail exactly what happened during the manufacture phase, so we could record and review the process as well as the design methodology for further development.  It is this advancement that is helping the technological process, and giving us the manufacturing input we need. Zeshan ali, design engineer, magna parva.  . ","MTC"
"Simulation and Visualisation Reduce the Risk of New Product Development","https://www.the-mtc.org/case-studies/simulation-and-visualisation-reduce-the-risk-of-new-product-development/","None","None","None","None","MTC"
"Additive Manufacturing of Front Bearing Housing Aerofoils for Rolls-Royce Test Bed Engines","https://www.the-mtc.org/case-studies/additive-manufacturing-of-front-bearing-housing-aerofoils-for-rolls-royce-test-bed-engines/","Development of additive layer manufacturing (alm) has not only been limited to small and intricate components.  Rolls-royce have pioneered the development of larger significant parts and associated technologies for structural engine components.  The front bearing housing is the largest aero engine structure to fly, incorporating alm components, in the world to-date (nov 2015). ","Working in conjunction with rolls-royce and arcam, mtc developed processes from powder inspection and characterisation through component manufacture to post process nondestructive testing of the alm components. Embedded integrated project team with the machine manufacturer, the mtc and rolls-royce working together. Secure and confidential development location. Facilitated fast iteration of designs. Provided access to world-leading expertise in powder characterisation for additive manufacturing. Working in conjunction with rolls-royce and arcam, mtc developed processes from powder inspection and characterisation through component manufacture to post process nondestructive testing of the alm componentsembedded integrated project team with the machine manufacturer, the mtc and rolls-royce working togethersecure and confidential development locationfacilitated fast iteration of designsprovided access to world-leading expertise in powder characterisation for additive manufacturing","Hundreds of aerospace quality components manufactured under full rolls-royce control. Tens of thousands of equipment run hours with extensive data capture. Electron beam additive manufactured components incorporated into ground and flying test bed xwb-97 engines. Hundreds of aerospace quality components manufactured under full rolls-royce controltens of thousands of equipment run hours with extensive data captureelectron beam additive manufactured components incorporated into ground and flying test bed xwb-97 engines","30% improvement in lead time for first development parts to stores. Fast iteration and design change implementation throughout project. Product and process knowledge captured for us in future rolls-royce programmes. Transferable capability and knowledge obtained as a result. Appreciation of economic business case drivers. Continuous improvements made to technology platform in conjunction with integrated project team. 30% improvement in lead time for first development parts to storesfast iteration and design change implementation throughout projectproduct and process knowledge captured for us in future rolls-royce programmestransferable capability and knowledge obtained as a resultappreciation of economic business case driverscontinuous improvements made to technology platform in conjunction with integrated project team. Images courtesy of rolls-royce plc 2015.  . ","MTC"
"Automation of Wax Pattern Production","https://www.the-mtc.org/case-studies/automation-of-wax-pattern-production/","To develop and mature to mcrl6+ a fully automated system for the manufacture of wax patterns for the single crystal turbine blade casting process.  The full system to be deliverable into the advanced blade casting facility as soon as it opened. ","Build the full system in a temperature and humidity controlled area, with access limited to the project team. Work collaboratively with suppliers of all machines, improving and redesigning where needed, to achieve process maturity. Perform metrology on all intermediate stages to find issues and root causes of variability. Install and operate all factory control it. Run five day, 24 hour per day production demonstration system trial. Build the full system in a temperature and humidity controlled area, with access limited to the project teamwork collaboratively with suppliers of all machines, improving and redesigning where needed, to achieve process maturityperform metrology on all intermediate stages to find issues and root causes of variabilityinstall and operate all factory control itrun five day, 24 hour per day production demonstration system trial","Fully proven system delivered on time into the new factory. A difficult process has been taken from being fully manual to totally automated. The advanced blade casting facility is now the world leading turbine casting facility. Fully proven system delivered on time into the new factorya difficult process has been taken from being fully manual to totally automatedthe advanced blade casting facility is now the world leading turbine casting facility","8-1 reduction in assembly lead time. Process variability dramatically reduced, leading to massive increase in system yield from 80% to over 95%. Significant reduction in ramp up time for new factory. Operators trained at mtc during factory build. It systems debugged before installation in factory. Health and safety greatly improved. 8-1 reduction in assembly lead timeprocess variability dramatically reduced, leading to massive increase in system yield from 80% to over 95%significant reduction in ramp up time for new factoryoperators trained at mtc during factory buildit systems debugged before installation in factoryhealth and safety greatly improved.  . ","MTC"
"Laser Welding for Titanium Fairings","https://www.the-mtc.org/case-studies/laser-welding-for-titanium-fairings/","To produce a production-ready laser welding process to replace an existing resistance welding method for the production of titanium fairings. The aim was to develop a process and tooling which would reduce or eliminate the need for post welding part sizing or forming. This would improve the product consistency, reduce the manual input and decrease the cycle time. ","Design and manufacture of assembly tooling with integral argon shielding. Process trials on full scale parts to produce engine test parts. Design and manufacture of assembly tooling with integral argon shieldingprocess trials on full scale parts to produce engine test parts","Delivered fatigue test coupons used to generate stress data for process approval. Delivered parts to production geometry for static engine test running. Delivered a fully documented, transferable process for customer deployment. Generated process & lifing data applicable to future applications. Achieved significant reductions in part distortion on full scale components. Delivered fatigue test coupons used to generate stress data for process approvaldelivered parts to production geometry for static engine test runningdelivered a fully documented, transferable process for customer deploymentgenerated process & lifing data applicable to future applicationsachieved significant reductions in part distortion on full scale components","A fully defined, stable, repeatable process to deliver more consistent products. Access to a world class laser facility for process development avoided the need for capital investment until a robust production process was developed. Access to industrially experienced process experts halved the time to develop a production solution. Existing production was not disrupted by development activity during the project. A fully defined, stable, repeatable process to deliver more consistent productsaccess to a world class laser facility for process development avoided the need for capital investment until a robust production process was developedaccess to industrially experienced process experts halved the time to develop a production solutionexisting production was not disrupted by development activity during the project. The mtc personnel blended into the integrated project team seamlessly, working tirelessly to deliver customer needs to a very high standard. Mark saint, laser welding ipt lead, rolls-royce samulet 2.  . ","MTC"
"World First in Metrology-Assisted Robotic Automation","https://www.the-mtc.org/case-studies/world-first-in-metrology-assisted-robotic-automation/","There has long been a manufacturing problem when extreme levels of accuracy are required for robotised automatic processes.  While industrial robots have been used for repetitive tasks for many years, with good results, the increasing use of offline computer programming has underlined the fact that industrial robots struggle to deliver the kind of ultra-accurate precision required in some applications, particularly in the aerospace, electronics and medical fields. ","The mtc's approach has delivered a world-first in robot technology.  Working with metrology engineers from telford-based hexagon manufacturing intelligence, the mtc’s experts came up with a methodology that involves combining the robot – in this case a kuka kr 240 robot with a kuka robot controller – with a high-speed ultra-accurate laser tracker, specifically a leica at901 laser tracker and a national instruments real-time controller.  The equipment is able to make real-time corrections to the robot’s path during a process – something which has never been achieved before. ","The project has increased the level of accuracy achievable with an industrial robot whilst providing real-time control of accurate robot path corrections. ","None","MTC"
"Extending existing capability in high value manufacturing","https://www.the-mtc.org/case-studies/extending-existing-capability-in-high-value-manufacturing/","Tti aims to set up a complete manufacturing facility to supply high value components produced by advanced powder metallurgy manufacturing techniques.  Already possessing extensive thermal treatment and surface engineering process capability, tti needed to understand what further equipment, processes and skill sets were required to produce finished components. ","The mtc reviewed industry standard and state of the art practices to understand investment opportunity and costs involved to extend tti’s existing capability into a growing high value manufacturing market.  The mtc provided a phased implementation plan to create a fully functional production line in the letchworth facility with specified equipment, cost, lead time and training requirements. ","Following the delivery of the phased implementation plan tti were able to make a fully informed decision on the investment required to develop their new line.  The second phase of the study will involve the mtc engineers placed on site at tti playing a pivotal role in the setup and training required to get the new line up and running. ","The provision of a real-world implementation plan for manufacturing capability expansion based on market knowledge and first-hand experience. The building of a close and flexible technical working relationship. Exposure to mtc members opening up business opportunities across a range of sectors and resulting in an increase of 50% of ttis heat treatment and surface engineering sales relating to powder metallurgy applications. Access to and involvement in strategically relevant collaborative research programs.  . the provision of a real-world implementation plan for manufacturing capability expansion based on market knowledge and first-hand experience. The building of a close and flexible technical working relationship. Exposure to mtc members opening up business opportunities across a range of sectors and resulting in an increase of 50% of ttis heat treatment and surface engineering sales relating to powder metallurgy applications. Access to and involvement in strategically relevant collaborative research programs.  . working closely with the british manufacturing supply chain is core to the mtc vision.  With tti we have formed a mutually beneficial relationship built on close technical communication and cemented with long term collaborative research strategy. Charley carpenter, technology manager, mtc .  . ","MTC"
"Arrowsmith Engineering: New thread-rolling processes for the aerospace industry","https://www.the-mtc.org/case-studies/arrowsmith-engineering-new-thread-rolling-processes-for-the-aerospace-industry/","Arrowsmith needed to develop new thread-rolling processes for the aerospace industry.  Thread-rolling is a difficult cold forming process that can be performed on any ductile metal to produce smooth and precise threads. Arrowsmith was experiencing frequent tool failures.  In addition, a wider challenge for arrowsmith was to reposition itself in the market, align its culture with that of its end customer and develop a centre of innovative excellence. ","With support from the national aerospace technology exploitation programme (natep), which is funded by the advanced manufacturing supply chain initiative, mtc engineers began working alongside arrowsmith’s own engineering team, further supported by the coventry and warwickshire aerospace forum. Much of this joint work was carried out at arrowsmith’s premises.  The team worked through the whole process from start to finish, developing precision-controlled production techniques.  These techniques were tested in small batch trials before being successfully carried over to volume manufacture. ","The techniques developed by the joint engineering team resulted in manufacturing processes that kept quality high and manufacturing costs down.  The process steps and details have been captured in a set of standard operating procedures for engineers and machinists.  These can be used for reference or training.  The innovative technologies employed have allowed arrowsmith to produce components that could previously not be made to the standard of accuracy and quality achieved. ","Arrowsmith has increased its standing with its customers as a competitive and innovative supplier. Arrowsmith has a workforce with a higher skill level and a better understanding of the process and the effects of variables. Arrowsmith is better placed to win new work as a technology leader in its field. In addition, it has made significant improvements in quality, and by reducing manufacturing waste has reduced its costs. Arrowsmith has increased its standing with its customers as a competitive and innovative supplierarrowsmith has a workforce with a higher skill level and a better understanding of the process and the effects of variablesarrowsmith is better placed to win new work as a technology leader in its fieldin addition, it has made significant improvements in quality, and by reducing manufacturing waste has reduced its costs. While the aerospace primes are seen to be investing heavily in new technologies, it's really important that the supply chain keeps up.  Advanced engines need advanced engineering solutions at every stage, so this research is crucial for the industry.  By working collaboratively, we're improving the quality and scope of that research, while upskilling our own engineers and sharing our expertise. Jason aldridge, managing director, arrowsmith engineering.  . ","MTC"
"Immersive visualisation for architectural design","https://www.the-mtc.org/case-studies/immersive-visualisation-for-architectural-design/","Traditionally, the architectural design industry uses pre-rendered visuals or scale models to communicate their designs to clients and stakeholders.  Whilst this can provide a reasonable representation of concept designs for presentations, there are still situations where technology can provide a greater level of understanding, realism and collective appreciation for the designers and clients. The challenge here was for the team at hickman & smith architects to effectively present their proposed designs to their client, utilising their own 3d dataset, in such a way that the client could make efficient, visual-based decisions. ","The mtc virtual reality cave system presented an opportunity for hickman & smith architects to fully communicate their design and allow the client to experience it as if it were real. Utilising the ic. Ido vr software from esi, the 3d architectural design was imported into the fully immersive environment.  By utilising a combination of head-tracking and 3d stereo visuals, the client was able to interact with the building in a very natural way and systematically ‘walk’ the spaces, offering comment or proposed design changes on the fly. Using vr as a design tool assists the process of identifying cost savings earlier in the design stages and, therefore, reduces the need for expensive variations once the project is on site. ","None","Faster and more effective decision-making, resulting in a reduction in timescales once the project is on site. More efficient use of time and materials         . Early identification of issues and required changes before any significant investments. Reduction in building costs and rectification work. Ability to compare design alternatives within minutes. Faster and more effective decision-making, resulting in a reduction in timescales once the project is on sitemore efficient use of time and materials         early identification of issues and required changes before any significant investmentsreduction in building costs and rectification workability to compare design alternatives within minutes","MTC"
"Immersive visualisation for collaborative construction projects","https://www.the-mtc.org/case-studies/immersive-visualisation-for-collaborative-construction-projects/","Large construction projects require detailed involvement and input from multiple parties throughout the various stages; including architects, consultants, contractors and of course, the client.  This in itself presents a challenge when efficient collaboration is necessary in order to achieve the desired results, on time and on budget.  The impact of late design changes, or missed issues, can be significant, so identifying these earlier in the design stages is critical. With multiple new build projects being run at the mtc site, the architects, fdg and consultants, gleeds were interested in using 3d building information modelling (bim) to apply 3d visualisation workflows to the design stages, in order to identify and resolve any potential issues and help with the decision- making process. ","The mtc’s virtual reality cave system provided the ideal solution to allow the architects and consultants to present and approve their designs with the mtc management team. The immersive visualisation environment provided the team with the ability to experience the virtual model as if it were real, by utilising a combination of head-tracking and 3d stereo visuals within the cave.  Using the ic. Idovr software from esi, the visualisation/vr team collated the various 3d datasets to build a complete site model that could then be used for a range of visual design reviews; everything from site planning, to detailed internal layouts.  This also provided the opportunity to acquire design and operation input from other teams including facilities management, catering, management staff and health and safety. ","The result of this work was ultimately the creation of a more reliable set of construction designs earlier in the design stage, matching the mtc’s requirements more closely.  The construction and client teams were quickly able to gain a common understanding of the designs and identify any potential issues by interrogating the 3d models in a very intuitive and natural environment.  The process has also resulted in changes that have contributed to improved building designs and overall optimisation of the mtc campus. ","Faster and more effective decision-making resulting in a 20% reduction in project design timescales. More efficient use of time and materials, giving a 10-fold return on investment from the use of the facility. Early identification of issues and required changes before any significant investments. Reduction in building costs and rectification work. Ability to compare design alternatives within minutes. Faster and more effective decision-making resulting in a 20% reduction in project design timescalesmore efficient use of time and materials, giving a 10-fold return on investment from the use of the facilityearly identification of issues and required changes before any significant investmentsreduction in building costs and rectification workability to compare design alternatives within minutes. The mtc is currently going through a fast period of growth and the ansty site developments have required us to work closely with the architects and consultants on the building designs and internal layouts.  This process has significantly benefited from the use of our vr system in helping us to fully understand and approve the designs in a much shorter timeframe. Dr clive hickman, chief executive, mtc.  . ","MTC"
"Virtual Reality for new product development","https://www.the-mtc.org/case-studies/virtual-reality-for-new-product-development/","None","None","None","None","MTC"
"Smethwick Drop Forge Ltd","https://www.the-mtc.org/case-studies/smethwick-drop-forge-ltd/","None","None","None","None","MTC"
"Reclaim","https://www.the-mtc.org/case-studies/reclaim/","None","None","None","None","MTC"
"New software improves the accuracy of automated shot-peening process","https://www.the-mtc.org/case-studies/new-software-improves-the-accuracy-of-automated-shot-peening-process/","Sandwell's customers - which includes formula one racing teams - require a very fast turnaround of parts finished to a high quality.  Some of these parts may be designed and manufactured in days before being fitted to race cars for the next event. Being near the end of the production process means that sandwell is often the last process in the chain before the part is fitted, necessitating a fast response. ","To speed up processing, sandwell introduced an automatic shot-peening system consisting of a robotic booth and surface scanning system, combined with rapid programming to accommodate diverse and changing demands.  Working together, engineers from sandwell and the mtc identified a process in which parts can be geometrically scanned and a cad model created from this scan.  Although this is proven technology, mtc engineers have taken it a step further by developing a process in which the robot's path is automatically determined by the scanned geometry. ","The new processes were proved on the mtc's own equipment, replicating that used by sandwell.  The processes were transferred to sandwell's robotic system where they have proved that rapid robot path creation can be carried out from scanned geometry with very little input from operators. The result is a much faster response time, a fully automated and efficient process, and a high level of accuracy. ","Sandwell is now able to respond to demanding industries with faster response times. Sandwell's shot-peening process is more efficient, with more precise programming of the robotic operation. Sandwell's high precision techniques have opened up opportunities in other sectors. The use of automated equipment reduces the need for highly specialised programmers. More efficient use of machines and energy resources. Sandwell is now able to respond to demanding industries with faster response times. Sandwell's shot-peening process is more efficient, with more precise programming of the robotic operation. Sandwell's high precision techniques have opened up opportunities in other sectors. The use of automated equipment reduces the need for highly specialised programmers. More efficient use of machines and energy resources. It is a delight to work with a world-leading sme where our automation expertise can help them take their process knowledge and open up new market opportunities.  Companies such as sandwell are the future potential for great british manufacturing to lead the world. Ken young, technology director, mtc.  . ","MTC"
"Embedded Sensing Feasibility Study","https://www.the-mtc.org/case-studies/embedded-sensing-feasibility-study/","None","None","None","None","MTC"
